X,Y,Z
"Dog beaches made more convenient for people","Larnaca authorities have decided to make visiting the dog beach more convenient for owners of four-legged pets. Free sun loungers and umbrellas were installed there. We are talking about Casianes beach south of the airport. The coastal recreation area has acquired a new look after the municipality of Larnaca carried out landscaping here.In a statement the municipality said sunbeds and umbrellas have been installed for the use of owners accompanying their dogs for a swim. You can use them for free. There are also dry toilets and trash cans on the beach.“It will be more convenient for dogs and their owners to walk and swim here” local authorities said in a statement. The beach improvement comes as part of the municipality's efforts to create ""adequate conditions for people and animals in addition to the various measures that the authorities are taking to protect their beloved four-legged animals.""Casianes beach on the map. The text was prepared based on materials from Politis. On topicWhere the dog beaches are located they wrote here.Read 398",4
"Astronomical events of August in the skies over Cyprus","August is a very special month for lovers of watching the night sky. It is in the last month of summer that the Perseid shower and the last summer supermoon are clearly visible from Cyprus.The Perseid meteor shower is a meteor shower that can be observed every year in August near the Perseid constellation. At this time the Earth passes through a cloud of dust particles left by the tail of Comet Swift-Tuttle. As meteors burn up in the Earth's atmosphere they burst into flames making them look like shooting stars. The Earth has already entered a cloud of dust particles but by mid-August this celestial phenomenon will become clearer.Every year several organizations invite you to watch celestial phenomena with them. Here is the list of events for this August: – The Kition Observatory conducts star observations for the 17th time. It will take place at the KiteMed kitesurfing club in the Softades beach area on August 11 starting at 19:30 (on the map)– The Riverland Biofarm in Campia invites lovers of celestial phenomena from 20:30 to 02:00 also on August 11th. Additional information by phone +357 99592598. Location. – The village council of the village of Prodromos organizes observation of the Perseids on August 12 at 22:00. Venue: Prodromos Reservoir (on the map). – On August 12 you will be able to admire the falling stars in the village of Kiperunda. The observation will be organized in the courtyard of the Church of St. Arsenia starts at 20:00. On the map. – On August 12 guests are also invited to the astropark in Amyandos observation starts at 19:00. On the map.However it's not just shooting stars that will grace the night sky this month. The supermoon is also approaching. On August 19 the natural satellite will be very close to Earth. On this night Venus will shine in the west and the Summer Triangle (an asterism of three stars: Vega Deneb and Altair) will hang high in the sky. The Milky Way will be visible in all its glory and the Perseid meteor shower will add a romantic touch to the entire night sky.The supermoon on August 19 will be the first in 2024. The text was prepared based on materials from Cyprus Mail.More interesting thingsThe strongest magnetic storm in several years took place in May 2024. Numerous flares on the Sun led to the fact that the northern lights were visible even from Cyprus which practically never happens. How it happened - see here. 
 Read 1448",4
"Are Cypriots happy with their personal lives?","Residents of Cyprus are quite happy with their personal lives. On a scale of ten respondents from the island rate it an average of 8.1 points higher than the EU average. Data provided by Eurostat.In 2022 EU residents reported high levels of satisfaction with their personal relationships. On a scale from 0 (not at all satisfied) to 10 (completely satisfied) they rated their personal lives an average of 7.8 points.Among the EU countries residents of Malta Austria and Slovenia showed the highest level of satisfaction with personal relationships – 8.6 points. At the opposite end of the ranking are residents of Bulgaria (6 points) Croatia (7.2 points) and Greece (7.3 points).Cyprus with 8.1 points was in the same group as Finland Estonia Lithuania Denmark Poland the Czech Republic and the Netherlands. Women reported slightly higher levels of satisfaction with their personal relationships (mean 7.9) compared to men (7.8).Young people aged 16-24 showed the greatest satisfaction with personal relationships rating them at 8.1 points. They are followed by people aged 25-34 with a satisfaction score of exactly 8 points. The lowest level was observed among people aged 50-64 years (7.7 points).Families with children and families of two adults rate their personal relationships at approximately the same level: 7.7 and 7.6 points respectively. Single adults are slightly behind them but not by much (7.4 points).The text was prepared based on Eurostat materials.Other newsStatistics show an increase in the number of vacant jobs. In which areas is the greatest demand? We study data from the Cyprus Statistical Service on proposals from employers. Go for details.Read 1345",4
"In October some documents will become electronic","The Digital Citizen mobile application will be available for download in October. This was stated by the head of the Sub-Ministry of Research Innovation and Digital Policy Nikodimos Damianou. According to him the application will become the main tool in the process of digitalization of public services and official documents. The implementation of the project began on June 19 after the signing of an agreement with Greece where a similar application is already in operation. The pilot version of the Cypriot Digital Citizen app will be available for download in October. In this version the functionality will be limited to three documents:– identity card – driving license – ILO.That is these documents will be available in electronic form and more importantly will be accepted by government agencies electronically. Soon after the pilot launch the app will add a fan card and birth certificate as well as a passport re-issuance service.“The addition of new features and services will continue. This indicates the government’s commitment to continually expand the capabilities of the Digital Citizen app” said Nikodimos Damianou.The text was prepared based on materials from Sigma. Other newsThe EkfraCY platform (from the Greek word meaning “expression”) will allow people aged 18-35 to engage in “ongoing dialogue with the executive”. The platform's functionality includes discussing and making proposals on issues such as education transport employment artificial intelligence the environment and “all other issues that are of concern to young people.” The first topic for discussion will be housing policy. More details are given here.Read 2646",4
"Yachting brought Olympic silver to the island","Cypriot yachtsman Pavlos Kontidis won a silver medal at the Olympic Games in Paris on August 7. He brought the country the second Olympic medal in its history. And it became the second silver in his career.Gold medalist Australian Matt Wearne Kontidis and bronze medalist Peruvian Stefano Peschiera climbed to the podium. This is Kontidis' second silver medal. He achieved a similar result at the 2012 games.The athlete said: “Thank you to Cyprus for the love and energy. The feeling is fantastic. I cried with joy along with my coach wife and child. During the race I had to be patient. I knew I had a chance to compete for gold. But after Tokyo I know what it means to be fourth. The pain of defeat is much greater than the joy of gold. So if I had to choose between a chance at a gold medal or a guarantee of silver or bronze I would choose the latter” he said.For Matt Wearne the stakes were very high. He was bidding to become the first consecutive Olympic gold medalist in the history of the discipline. This is what ultimately happened.The medal race was scheduled for August 6 but was ultimately canceled due to weather conditions. The competition on August 7 also had to be stopped shortly after the start due to lack of wind and started again.The Cyprus Olympic Committee noted that Kontidis is only the sixth athlete in the history of his discipline to win multiple Olympic medals. “Pavlos’ first goal was to win a medal any medal. Pavlos took great pains to ensure that the wait and delays did not affect his mental state. He achieved his goal by finishing behind Australian Wearn who was generally considered to have run an excellent race” the committee said in a statement.President Nikos Christodoulides was one of the first to congratulate Kontidis on his triumph. “Today is a historic day for our country and its sport as our champion Pavlos Kontidis won an Olympic silver medal for the second time” the president said.Kontidis' result lifts Cyprus to 58th place in the medal standings level with Armenia Colombia Fiji Mongolia and Tunisia.The text was prepared based on materials from Cyprus Mail. Other achievementsOn August 4 Cyprus champion Elena Kulichenko took seventh place in the high jump final. This was Cyprus's first appearance in the finals of this discipline and therefore the country's best result in its entire history of participation in the Olympics. You can read more here.Judoka Sofia Asvesta also showed a good result. She made it to the 1/8 finals but was defeated by two-time Olympic champion from France Amadine Busa. Asvesta took ninth place in the final standings this is the best achievement in the entire history of Cypriot judo. 
 Read 296",4
"There is a shortage of methotrexate in pharmacies","In Cyprus there has been a serious shortage of the drug methotrexate in recent days. It is used in the treatment of a number of diseases. A large batch of this medicine was damaged in a flood at the Ministry of Health warehouse and the department was unable to make up for the losses.The shortage of methotrexate mainly in the 20 mg injectable form has caused concern in various categories of patients. We are talking about people suffering from cancer autoimmune diseases and various types of rheumatic pathologies. Relatives of the patients contacted Politis and reported that methotrexate had disappeared from pharmacies. In one case the patient remained without medication for two weeks. The state pharmacy recommended that he use a higher dosage (25 mg) which was contrary to the doctor’s instructions.The health insurance organization has admitted that in recent days there is indeed a shortage of this drug. A senior employee of the organization Gnosia Anchiotu explained that the consignment of medicine was damaged during a flood at the Ministry of Health warehouse.The health insurance organization asked the manufacturer to send an additional batch but the request remained unanswered. The organization was then able to locate some methotrexate in Greece. This shipment should be delivered to the island soon.An official from the Health Insurance Organization noted that the drug itself is “problematic.” It is difficult to buy and deliver to Cyprus. “This product is no longer of commercial interest so it is difficult to find a supplier. Now it is sold at very low prices which is why many companies do not want to supply it because it will not bring them much profit” Akhniotou said.Methotrexate is a widely used medicine for the treatment of a number of diseases. It is known as an immunomodulatory antirheumatic drug that reduces inflammation in the joints and reduces the activity of the immune system. Patients usually take it in tablet or liquid form but it can often be given as a subcutaneous injection. Injections may be the most appropriate form of methotrexate administration for juvenile idiopathic arthritis.The text was prepared based on materials from Politis. On topicWe talked about the flood at the Ministry of Health warehouse which destroyed almost a million euros worth of medicines here. Read 529",4
"Cyprus is ready for the Estia plan for the Middle East","Amid fears of an escalating conflict between Israel and Iran European countries are evacuating their citizens from Lebanon and other Middle Eastern countries and relocating embassy staff through Cyprus. The German Armed Forces are preparing a small fleet of A400M transport aircraft at Wunstorf Air Base in Lower Saxony. They will be able to transport people from Beirut to Cyprus as needed. The German Foreign Ministry announced that there are currently 2100 Germans in Lebanon who will need to be evacuated in the event of an emergency. Germany has called on its citizens several times to leave Lebanon.Lufthansa has canceled all flights to Tel Aviv Beirut and Tehran until August 12. There will be no flights to Amman (Jordan) and Erbil (Iraq) until August 7. Airlines belonging to the Lufthansa group such as Swiss and Austrian Airlines will avoid Iranian and Iraqi airspace until August 7.On August 1 the Swedish Embassy in Israel received instructions from its Foreign Ministry to transfer all employees to a safe location. Cyprus was chosen for temporary deployment. The embassy will be located on the island until the end of August.Although Germany is actively preparing for evacuation the Cypriot authorities have not yet activated the Estia plan. It is put into effect every time citizens of the European Union and third countries need to evacuate en masse across the island. “We have not yet received any requests from other countries to activate the plan. However we are ready to do this at any time” said deputy government spokesman Yiannis Antoniou.The director of development and communications at Cyprus airport operator Hermes Maria Kouroupi said Larnaca and Paphos airports were “prepared to cope with any potential influx of passengers caused by the current situation in the Middle East.”In statements made on August 6 she said that flight schedules to and from Israel or Lebanon were being adjusted daily. So far two or three special flights have been carried out to evacuate a small number of people from Lebanon mainly diplomatic mission employees.Several flights to and from Israel or Lebanon were canceled or rescheduled affecting about 10000 passengers. However 14 flights continue to operate daily without changes. “Israeli Airlines and one European airline are sticking to their schedule” Kouroupi said. She added that it is still difficult to predict future developments. “There is a tense calm. Our goal in these circumstances is to ensure that all other flights continue to operate smoothly so that Cyprus remains a safe destination. We hope for a speedy return to normal life in our region” concluded Maria Curupi.The text was prepared based on materials from Cyprus Mail.PreviouslyDue to the tense situation in Lebanon the authorities of the Republic of Cyprus activated the Nafkratis plan. The island is ready to become a transshipment base for citizens of the European Union and third countries. More information is in this news.Read 3930",4
"Will English-language programs at universities be paid?","The Ministry of Education and Parliament are discussing whether it is possible to introduce courses in English at public universities and in what format. They first started talking about this eight years ago and now the discussion has reached a new level.A new round of discussions began after the Cypriot authorities gave the green light to the opening of branches of Greek universities.The Ministry of Education has prepared a bill that will pave the way for the opening of bachelor's programs at the University of Cyprus taught in English. The same bill will allow foreign universities to open their branches in Cyprus.According to the bill education in English will not be free even at a state university. The amount of tuition fees and the size of quotas for foreign language students will be determined by the Cabinet of Ministers. Students at public universities will not be able to switch from studying in Greek to studying in English and vice versa.Since 2016 when this issue was first discussed different opinions have been expressed. The proposal to charge public university tuition has generated the most controversy. Deputies did not reach a consensus on whether this should be done in principle let alone specific amounts. The Ministry of Education has clarified that the state cannot pay for studies in English for students who do not speak Greek. According to the rector of the University of Cyprus Tasos Christofides the university should charge tuition fees in English. But it should be less than in private universities.The text was prepared based on materials from Cyprus Mail. More on the topic On July 24 the Cabinet of Ministers approved a proposal to limit the number of foreign students in the country's universities. An exception was made for citizens of a number of states. Details at the link. 
 Read 443",4
"Larnaca: greening and restoration of colonial infrastructure","50 palm trees were planted along the Mackenzie embankment and previously another 200 were planted in Oroklini. And in Tochni three fountains that were installed here during the colonial period have been restored. The results of a long-term program to create green areas throughout the region were shared by the Larnaca Tourism Development Association on August 6.“These abandoned springs have been renovated and their new appearance has improved the image of the village” the association said in a statement about the fountains in Tochni. Two fountains now provide drinking water to visitors including many cyclists as Tochni lies on a popular cycle route. Other initiatives of the Tourism Development Association include: the creation of a new beekeeping trail in the village of Vavla the improvement of the coastal park of Pyla and the national forest park of Rizoelia the opening of a demonstration village farm in the village of Agios Theodoros.In addition the Larnaca Tourism Development Association is adopting the products of the Cypriot startup theBreath. An innovative company has created a special technology to absorb harmful exhaust emissions and break down harmful particles using fabric. This is a passive air purification process using natural air flow and without additional energy requirements. The technology will be used in hotels in the region. “This initiative contributes to the development of a new identity for Larnaca and carries an eco-friendly message for local residents and tourists” the statement said.The text was prepared based on materials from Cyprus Mail. Read also The next ten years will be a time of major investment in Larnaca says city mayor Andreas Viras. In an interview shortly after his re-election as head of the city he spoke about the goals that the municipality sets for itself. Read more. 
 Read 874",4
"Parents of schoolchildren will be helped to buy office supplies and equipment","President Nikos Christodoulides announced a new package of measures to support students. It is part of a wider plan to ease the impact of rising living costs.The plan is called “Together in every endeavor!” It was announced shortly before the start of the new school year. The new measures are expected to benefit more than 45000 students and cost the budget €9.5 million. The plan aims to enable parents to buy school supplies a tablet a laptop for their children and pay for travel to school.The package contains five measures:– A subsidy of 100 euros for the purchase of school supplies for each student in the first grade of primary schools gymnasiums lyceums and technical schools. The subsidy will help 26000 students and the total subsidy amount will be 2.6 million euros. – A subsidy of 200 euros for the purchase of a tablet for students in the third grade of primary school a subsidy of 400 euros for the purchase of a laptop for students in the second grade of a gymnasium. The total expenditure under this part of the package will be 5 million euros the money will be allocated for the needs of 17000 students. – A subsidy of 150 euros for families receiving child benefit if these families have at least three children attending classes in the preparatory group of a kindergarten (that is they are over 4.5 years old) in a primary secondary or technical school (as in public and private). – A subsidy of 150 euros for families if these families have at least three children attending classes in the preparatory group of a kindergarten (that is they are over 4.5 years old) in a primary secondary or technical school but are not entitled to the above subsidies. In this case families can apply through the administration of the schools where their children study. This and the previous measure will cost the budget 900000 euros and about 5900 families will receive the money. – Discount on travel on public transport for students of secondary and secondary specialized educational institutions. As a result the cost of an annual pass will be reduced from 200 to 30 euros and a monthly pass from 10 to 5 euros (travel for primary school students on public transport is free). 20000 students will benefit from this measure. Budget costs will amount to 1 million euros. The measure is also expected to contribute to traffic reduction and green transition. The text was prepared based on materials from Cyprus Mail and Politis. Let us remind you The ban on the use of mobile phones in gymnasiums and lyceums was paused until September. Parliament was unable to reach a compromise before the start of the new school year. Read more about the project here.Read 362",4
"An American landing ship entered the port of Limassol","On Wednesday August 7 the American landing ship USS Wasp entered the port of Limassol. Petty Officer 2nd Class Sydney Milligan said.“While in port the ship and the crew of the 24th Marine Expeditionary Unit will be able to rest and resupply while the crew will participate in a public relations event in coordination with the Agios Stefanos Foundation” the statement said.USS Wasp Commander Christopher Purcell said the crew was looking forward to experiencing the culture of Cyprus. He added: “Port visits like these strengthen our relationships with partner countries.”The Republic of Cyprus is a frequent destination for US Navy ships operating in the Mediterranean. In August 2023 the Arleigh Burke-class guided missile destroyer USS Ramage (DDG 61) visited Limassol as part of the Gerald R. Ford carrier strike group. In November of the same year the Blue Ridge-class command and control ship of the US 6th Fleet USS Mount Whitney (LCC 20) arrived in Larnaca. In February 2024 the Wasp-class amphibious assault ship USS Bataan (LHD 5) and the 26th Marine Expeditionary Unit (Special Operations Unit) (MEU(SOC)) aboard made its third deployment port visit to Larnaca.Limassol became the second port for the USS Wasp where the crew was able to receive shore leave.Source: cyprus-mail.comPhoto: fox59.com",4
"Türkiye to open military hospital in Cyprus","On Wednesday August 7 the Minister of Health of the TRNC Hakan Dincürek said that a military hospital will be opened in Kyrenia in the near future it will be put into operation by the end of the month.Dinchyurek noted that there was a military hospital in Kyrenia but it was “insufficiently spacious and had poor technical equipment.”“This new hospital will be able to provide services to our country our people our soldiers members of the Turkish Armed Forces commanders and civilian personnel. An institution is being created where military personnel civilian personnel and the population can be served” the minister added. The hospital has a capacity of 100 beds and has been under development since 2021.Turkish Deputy Foreign Minister Burhanettin Duran approved the opening of a military hospital in Cyprus.The deputy leader of the opposition IYI party Turhan Çomez called on the government to focus on opening military hospitals in Turkey itself “where good highly qualified doctors work.” He stressed that the lack of military hospitals in Turkey poses a great risk to national security.Source: cyprus-mail.com",4
"Population of Cyprus: census data","The Cyprus Statistical Service has published the full report on the results of the 2021 Census. In this news we present the first part. The data is compiled into visual infographics.According to the census results compared to 2011 data the country's population has increased by 9.9% and now stands at 923381 people.The largest number of people live in the Nicosia region - 350035 people. The largest population increases occurred in the Ammochostos region (16.5%) Paphos region (14.5%) and Limassol region (11.4%).The share of the urban population in Cyprus was 66.7%. This figure has remained virtually unchanged compared to 2011.Of the total population 719252 people or 77.9% are citizens of Cyprus. A further 93540 people or 10.1% of the population are EU citizens. Among Europeans the largest proportion are Greeks (4.7% of the population of Cyprus). Third country nationals number 107168 or 11.6% of the population of Cyprus.The largest percentage of foreigners live in the Paphos region - 40% of the total number of residents in the region.When counting the number of people born in Cyprus statistics show that 688844 people or 74.6% of the population are natives of Cyprus.Data on foreigners living in Cyprus can be seen in the table here. If we make a selection by country of our readers the statistics will be as follows:– Greece 35499 – Russian Federation 16412 – Georgia 9745 – Ukraine 5650 – Poland 2422 – Moldova 2198 – Belarus 1192 – Latvia 1060 – Armenia 933 – Lithuania 850 – Kazakhstan 331.The share of women among the foreign population of almost all of the listed countries prevails.In the second part we will talk about the age composition of the population and the distribution of housing among the population.The text was prepared based on materials from the Statistical Service.More on the topicOn January 1 2024 Germany France and Italy together accounted for almost half (47%) of the total population of the European Union. Cyprus with 923272 inhabitants ranks third from bottom in the overall ranking. More details here.Read 70",4
"The British Cemetery in Paphos is overcrowded","Residents of Peyia are expressing concern about the state of the municipality's ""foreign"" cemetery.“My late wife is buried at the far end of the cemetery she passed away in 2012” said one local resident originally from the UK who now lives in a nearby village. “We decided to bury my wife in this place because my relatives lived in Cyprus for many years and always wanted to be buried in Peyia.”Access to his wife's grave has recently become extremely difficult since there is a catastrophic lack of space in the cemetery and new graves are even placed on footpaths.The 64-year-old Briton who has lived on the island for 20 years also expressed disappointment that essential maintenance of the site which should be covered by council taxes was not being carried out.“I had to clear vegetation from my wife’s grave. Many graves are overgrown""“They are happy to sell villas to British pensioners but no one cares how they are buried in the end” said one outraged local resident.Speaking on the issue a senior official from Peyia council acknowledged the problem and said that the municipality was in fact in the process of obtaining the necessary permits to expand the cemetery. For this purpose a nearby plot of land has already been purchased for 500000 euros.“We hope to be able to propose a new cemetery site within a few months but the timing will also depend on the problems caused by local government restructuring” he said.“Peyia is the only community that has separate cemeteries for non-Orthodox and Orthodox burials.”This was not due to any prejudice but because in the late 1990s the municipality saw fit to specifically set aside land for the needs of the rapidly growing expat community. Purely by coincidence the Greek and “British” cemeteries ended up on opposite sides of the road.Visitors to the British cemetery note that the graveyard paths are generally narrower and the graves simpler and smaller often not even having headstones. Officials attributed the difference to cultural factors.“The municipality is responsible for maintaining the paths and collecting waste. The difference in burial style is due to cultural differences and some of those buried in the British cemetery no longer have living relatives who can regularly travel to Cyprus to look after the grave.”The cost of a burial site in the area ranges from 350 to 5000 euros. Cost is determined on a scale that takes into account how long a person has lived in the community and whether they pay property taxes or rent. In Peyia burial site fees are not included in annual taxes.Watt who is director of the Cyprus Crematorium Project said that currently a cremation from Cyprus could be arranged in Vienna or the UK for around €5000 excluding funeral fees while at a local crematorium this could be reduced to around €900 . As for the project's future Watt said operating permits have already been secured and an announcement on its progress may be forthcoming next month.Source: cyprus-mail.com",4
"A memorial service was held in Paralimni for those killed in the Helios plane crash","On Sunday morning August 11 a memorial service was held in the Church of Agios Georgios in Paralimni in memory of the victims of the Helios plane crash timed to coincide with the 19th anniversary of the tragedy.The plane crash occurred on August 14 2005. Flight 522 flying from Larnaca to Prague crashed as a result of cabin depressurization. All 121 people on board were killed.The service was conducted by Bishop Kiti Nektarios. The event was attended by Deputy Minister of Tourism Kostas Koumis and DISI MEP Michalis Hadjipantela. In his speech Hadjipantela noted that over the past 19 years the pain from this tragedy remains indelible.“August 14 2005 was a dark day when 121 souls left this world. 19 years have passed but the wounds do not heal and the pain remains with the families and friends of the victims. We must remember that memory is a form of resistance in the face of death” he said.The crash occurred after the plane circled over Athens on autopilot for several hours until it ran out of fuel after which the airliner crashed near the village of Grammatiko.Source: cyprus-mail.com",4
"Cypriot film conquers Netflix","The first Cypriot film on the Netflix streaming service immediately hit the top most watched. Find me falling was launched on July 19 2024 in 30 languages ​​and received 14.4 million views in the first five days.The Cypriot film came out on top in the Netflix Global 10 rankings.The director screenwriter and producer of the film is Stelana Kliris. Stelana was born into a Cypriot family in South Africa and moved to Cyprus in 2010.In his interview with Cyprus Business News the director shares that he has been working in the film industry for 20 years. In 2016 she founded her own company the first project of which was Find me falling.The idea for the script began when Stelana Clearis read an article about Don Ritchie from Australia. He lived near a notorious cliff where people who wanted to commit suicide came. Don has helped many people avoid taking this step and saved their lives. The Cypriot woman was inspired by this story to make her film about the importance of personal contact and kindness.Most of the scenes were filmed in Peyia and in the Kaimakli area of ​​Nicosia.The film was shown at the American Film Market where it attracted the attention of Netflix. As a result the debut of the Cypriot film industry was successful.The film was financed by second producer Jupiter Peak and the Cyprus Sub-Ministry of Culture. Also the Cyprus Film Commission has offered a 45% refund for films shot in Cyprus. This scheme is one of the most attractive in the world.Stelana Kliris is currently working on creating a new film about Cypriot emigrants in South Africa.Text prepared based on CBN materialsRead alsoTwo Cypriot short films performed well at international festivals. Read about them in the review.Read 18",4
"Divers pulled out more than a ton of garbage from the sea","Volunteers collected 1.2 tons of rubbish from the seabed in Paphos harbor. The finds included old tires metal boxes and one chair. 12 divers took part in the event which lasted an hour. Volunteers recovered 200 metal boxes 50 glass bottles 27 car tires pieces of iron structures old fishing nets and a chair from the bottom.“The sea is not a garbage dump. The sea is our life” reminded the organizers of the action from the Akti research center. Meanwhile the Department of Fisheries and Marine Research has urged fishermen to stop fishing for bluefin tuna. If a fish of this species is accidentally caught it must be released into the sea. This should help maintain the tuna population in the waters around the island.Cyprus has ratified an international bluefin tuna management plan on its territory. Professional fishermen require special permission to catch this fish. For amateurs bluefin tuna fishing is completely prohibited.The text was prepared based on materials from Cyprus Mail. Read also In 2025 55% of all household waste should be sent for sorting. The European Union has set this goal for the participating countries. Will Cyprus be able to meet the deadline? There are conflicting information coming from different departments. Which one exactly – read the link. 
 Read 336",4
"The transport company will complain to the Limassol authorities","The EMEL company which is responsible for passenger transportation in Limassol intends to file a complaint with the police against the actions of the municipality. Previously the authorities demolished the building being built by the company as they considered it illegal.Late in the evening of August 3 the Limassol Municipality reported on its Facebook account that an unauthorized building on Eolou Street had been demolished. The area of ​​the one-story building was 300 square meters. m. Cause of the conflictThe site which was purchased by the city from a private party was the site of a public market in the past. The municipality then decided to build a “social and cultural infrastructure” here and later a bus station as part of a sustainable urban mobility plan. However as reported in the post a private company began construction of a building on municipal land ignoring legal procedures. The authors of the post call this company EMEL. They note that despite winning the Ministry of Transport tender for public transport in Limassol it remains a private company and does not have the right to build on municipal land without the appropriate permits. “The Limassol Municipality supports the development of public transport and the increased use of buses in our city. But he cannot tolerate the arbitrary construction and use by a private company of real estate owned by city residents and intended for other cultural and social purposes” the statement said. Therefore it was decided to demolish the building.An EMEL representative said that the building was erected after receiving the appropriate permit 14 months ago. Thanks to its design it could be moved to a new location if the municipality required it.Another projectMeanwhile the city authorities have entered into an agreement to reconstruct Heroes' Square in the center of Limassol. The work will take 18 months and the project budget will be 39 million euros. “We are handing over the area to pedestrians and focusing on accessibility” said Limassol Mayor Yiannis Armeftis.The EU-funded project includes the construction of an underground exhibition hall and improved connections to the Rialto Theater for outdoor events. Traffic will be partially limited on the streets adjacent to the square: cars will only be able to drive here during the daytime hours on weekdays.Armeftis noted that the project will be part of a larger plan to renovate the entire center. “We want less cars and more greenery in the center to make the area more accessible” the mayor said.The text was prepared based on materials from Cyprus Mail.Other newsIn November the World Architecture Festival will be held in Singapore during which the best projects from around the world will be awarded. Cyprus is represented at this festival by five projects in five different categories. Read more.Read 1446",4
"East Paphos wants to change its name","The newly formed municipality of East Paphos intends to change its name. The new name is intended to better reflect his identity. The authorities of the administrative entity want to be called the Municipality of Ierokipia.Hierokipia is the ancient name of Geroskipu which is found in ancient sources. Translated into Russian it means “sacred gardens” and indicates the existence in these parts of the sacred grove of the goddess Aphrodite.“We want to preserve the historical identity of our area especially Geroskipou” said the mayor of East Paphos Nikos Palios. The decision to change the name was made almost unanimously by the municipal council: 15 people spoke in favor and one against.Hierokopia is mentioned in the work of the ancient Roman scientist Strabo who lived in Asia Minor during the transition from the Roman Republic to the Roman Empire. In Russian translations the name is conveyed according to the classical transcription: Hierokepia or Hierokepida. “Not far from the sea is Hierokepida. Next comes Paphos founded by Agapenor with a harbor and beautifully built sanctuaries” writes Strabo (“Geography” XIV 683 trans. G. A. Stratanovsky).     Nikos Palios served as head of the municipal department for culture under the previous mayor. He is known for advocating that work on a new five-star hotel in Geroskipou should be stopped because important archaeological finds had been made at the site.The authorities of Geroskipou have previously sought to emphasize the rich history of the village and its connection with the goddess of love.The text was prepared based on materials from Cyprus Mail. On topic Residents visitors and businessmen of Paphos are not very familiar with the myth of Aphrodite. This conclusion was reached by a study conducted by the Regional Tourism Development Association. We told you more here.Read 1283",4
"Dogs calm passengers at the airport","Cyprus airport operator Hermes has launched a new project at Larnaca Airport. It aims to reassure passengers experiencing travel stress while promoting the idea of ​​""adopting"" dogs from shelters.Once a week for the next three months specially trained dogs will be at the Larnaca airport gates for each passenger to pet. The dogs will spend two hours at the airport. The project is called “Preboarding Zen mode”.Preparations for it took place over several weeks. The trainers trained the dogs not to react to external stimuli and to behave calmly in the airport environment. Trainers accompany the dogs selected and trained for the project.“This initiative is part of the sustainable development and social responsibility strategy of Cyprus airport operator Hermes. Its goal is to offer passengers stress relief and create a friendly and calming atmosphere at the airport. At the same time the program emphasizes the importance of animal adoption promoting the idea that shelter dogs can make wonderful pets” the company said in a statement.In the video published by Hermes you can see a dog named Triggle a stray dog ​​who ended up in a shelter and was selected for the project.The text was prepared based on materials from Politis and Cyprus Mail. At the same timeAt the beginning of June a reader contacted the editors of Vestnik Kipra asking for help. She said that she encountered inappropriate behavior from the staff of one of the shelters which is why people cannot take the dog home. Her story is here. 
 Read 490",4
"Cypriot will compete for gold in sailing","Yachtsman Pavlos Kontidis is ready to compete for a gold medal at the Olympics in Paris. The final race in the Laser class will take place on August 6th. We also talk about the results of other athletes.“I don't let my emotions get the better of me. I’m focused on doing the best I can” Kontidis said. He added that given his position in the rankings he was ""in a difficult position."" “I expect the Australian [Matt Wearne] to attack. I will try to break away and if the opportunity arises win gold. Otherwise I will sit on the defensive to win a silver medal” the athlete shared. The race will be broadcast by the RIC TV channel starting at 16:43 (Cyprus time). On August 5 gymnast Marios Georgiou took 6th place in the final performance on the horizontal bar. The athlete showed an ideal program but an unsuccessful landing cost him third place. He scored 13.333 points. “I’m upset but I can’t say I’m disappointed” said Marios Georgiou.  He is happy with the result as he has achieved great success for himself and for Cyprus. Georgiou became only the fourth Cypriot athlete to place in the top 6 in the Olympic gymnastics competition. When asked about his plans for the future Georgiou replied that he would rest for two to three weeks before starting training again. “I believe that I will get to the games in 2028 and become the main character there” he assured. Meanwhile athlete Olivia Fotopoulou ended her Olympic participation after finishing eighth in the 200m semi-final. The Olympics are also over for Marilena Macri who competes in sailing. She scored 195 points and took 30th place. Strong winds and her low weight created unfavorable conditions for her. “The race was not a success at all. It was one of the worst performances of my career. Many mistakes were made. But I'm here to learn and I'm happy to have competed in the Olympics for the second time. I’m happy with myself” she said. The text was prepared based on materials from Politis Cyprus Mail Sailweb and Phileleftheros. Read also On August 4 Cyprus champion Elena Kulichenko took seventh place in the high jump final. This was Cyprus's first appearance in the finals of this discipline and therefore the country's best result in its entire history of participation in the Olympics. More details here.Read 197",4
